Försök nr, Tid i nanosekunder'
1, 12573641
2, 666683
3, 624107
4, 629348
5, 590441
6, 571603
7, 562105
8, 556387
9, 535163
10, 534244
11, 537422
12, 536652
13, 535742
14, 536241
15, 535788
16, 535017
17, 536421
18, 536638
19, 535104
20, 533716
21, 537026
22, 535783
23, 534369
24, 534622
25, 535144
26, 538932
27, 538393
28, 536082
29, 533076
30, 537184
31, 535184
32, 534797
33, 538143
34, 547574
35, 551834
36, 556920
37, 548751
38, 549822
39, 536749
40, 552455
41, 548054
42, 547200
43, 548834
44, 550130
45, 564084
46, 547822
47, 595278
48, 561128
49, 522745
50, 519923
51, 521840
52, 564355
53, 543069
54, 542555
55, 537382
56, 532450
57, 535963
58, 535696
59, 535345
60, 534048
61, 536387
62, 540152
63, 554215
64, 523462
65, 520014
66, 519364
67, 522267
68, 613545
69, 520809
70, 520411
71, 521378
72, 544414
73, 554186
74, 547058
75, 481771
76, 485644
77, 474794
78, 471663
79, 470413
80, 469901
81, 469785
82, 472253
83, 489098
84, 460022
85, 459198
86, 479027
87, 459523
88, 459007
89, 461053
90, 459095
91, 445174
92, 460021
93, 459657
94, 479183
95, 459486
96, 458645
97, 458921
98, 474834
99, 458952
100, 460682
101, 458937
102, 3082940
103, 526088
104, 457555
105, 456828
106, 469868
107, 473493
108, 454827
109, 466914
110, 459082
111, 459104
112, 444171
113, 460835
114, 481322
115, 459967
116, 459039
117, 461396
118, 459060
119, 458951
120, 458960
121, 459042
122, 460694
123, 515639
124, 483246
125, 471493
126, 471727
127, 472522
128, 473383
129, 471692
130, 464185
131, 491770
132, 465557
133, 472717
134, 524909
135, 475369
136, 471645
137, 471529
138, 488322
139, 469412
140, 482343
141, 470863
142, 469632
143, 469386
144, 579657
145, 470354
146, 471608
147, 472485
148, 474220
149, 474201
150, 518057
151, 491923
152, 472583
153, 473493
154, 538190
155, 474359
156, 479689
157, 472250
158, 472337
159, 475845
160, 403090
161, 404265
162, 400241
163, 415290
164, 414246
165, 403851
166, 398926
167, 398937
168, 398771
169, 461972
170, 398305
171, 398168
172, 398008
173, 398182
174, 397882
175, 400099
176, 397956
177, 397875
178, 397867
179, 397847
180, 397810
181, 397900
182, 409485
183, 387190
184, 401887
185, 403893
186, 401940
187, 401925
188, 387016
189, 401873
190, 401844
191, 401833
192, 401844
193, 386960
194, 401904
195, 404338
196, 401857
197, 401906
198, 394326
199, 394361
200, 401961
201, 401843
202, 401762
203, 440531
204, 397623
205, 400198
206, 397797
207, 397594
208, 412635
209, 397575
210, 397617
211, 456586
212, 397512
213, 397621
214, 399312
215, 397742
216, 397644
217, 397496
218, 397530
219, 397533
220, 397537
221, 401766
222, 401833
223, 401677
224, 403828
225, 394321
226, 394323
227, 401655
228, 401673
229, 401640
230, 394344
231, 394136
232, 401658
233, 401618
234, 403524
235, 401906
236, 386747
237, 401661
238, 401650
239, 401682
240, 401682
241, 386790
242, 401762
243, 401666
244, 403501
245, 401854
246, 386764
247, 401792
248, 401690
249, 401560
250, 401789
251, 471575
252, 397863
253, 408821
254, 411229
255, 409684
256, 424327
257, 424949
258, 409338
259, 409538
260, 409096
261, 408921
262, 408816
263, 408862
264, 411984
265, 415840
266, 401620
267, 401873
268, 409933
269, 410031
270, 386817
271, 401608
272, 417359
273, 403304
274, 401978
275, 386781
276, 401664
277, 401653
278, 401621
279, 401816
280, 386603
281, 401563
282, 401541
283, 403592
284, 401995
285, 386819
286, 417312
287, 401480
288, 401544
289, 401602
290, 386748
291, 401612
292, 401533
293, 470270
294, 401911
295, 401710
296, 386711
297, 415370
298, 408694
299, 408782
300, 408675
301, 408867
302, 408750
303, 411063
304, 408981
305, 414551
306, 401658
307, 402011
308, 397517
309, 397485
310, 397608
311, 397478
312, 397387
313, 399877
314, 397560
315, 400464
316, 401645
317, 386716
318, 401591
319, 401734
320, 401735
321, 401538
322, 386718
323, 403676
324, 401759
325, 401675
326, 401572
327, 386753
328, 401578
329, 401536
330, 401427
331, 401526
332, 402262
333, 452421
334, 401584
335, 401554
336, 414811
337, 408779
338, 408694
339, 408636
340, 408778
341, 408783
342, 408840
343, 410882
344, 408797
345, 403699
346, 402063
347, 402203
348, 402294
349, 393858
350, 394850
351, 402110
352, 402229
353, 404020
354, 394296
355, 409294
356, 402219
357, 402230
358, 402070
359, 394732
360, 394104
361, 402149
362, 402330
363, 403853
364, 401828
365, 386948
366, 401626
367, 401781
368, 401565
369, 401522
370, 386826
371, 401738
372, 401653
373, 403927
374, 401823
375, 464961
376, 408201
377, 397664
378, 397573
379, 397585
380, 397567
381, 397602
382, 399225
383, 397742
384, 438641
385, 447511
386, 414064
387, 408985
388, 408776
389, 408842
390, 426730
391, 409089
392, 414043
393, 408856
394, 409254
395, 401596
