Försök nr, Tid i nanosekunder'
1, 10242363
2, 40136
3, 38313
4, 37699
5, 37416
6, 37289
7, 37852
8, 37339
9, 37111
10, 37079
11, 36907
12, 37019
13, 37674
14, 36878
15, 36829
16, 36830
17, 36674
18, 37471
19, 36931
20, 36687
21, 36682
22, 36702
23, 37347
24, 36719
25, 36733
26, 36614
27, 36698
28, 37237
29, 36643
30, 36640
31, 36520
32, 36615
33, 37281
34, 61204
35, 55106
36, 36587
37, 36700
38, 38120
39, 36663
40, 36583
41, 36628
42, 36761
43, 37227
44, 36744
45, 36675
46, 36597
47, 36571
48, 36627
49, 37254
50, 36677
51, 58262
52, 37954
53, 37702
54, 38792
55, 37868
56, 49125
57, 47781
58, 37815
59, 38599
60, 37765
61, 37780
62, 47865
63, 39230
64, 47313
65, 37763
66, 37769
67, 37903
68, 45519
69, 37382
70, 36669
71, 36711
72, 36788
73, 36750
74, 37273
75, 36680
76, 36628
77, 36714
78, 36680
79, 37270
80, 36649
81, 36721
82, 36657
83, 36619
84, 36695
85, 37174
86, 36718
87, 36602
88, 36539
89, 36691
90, 37478
91, 36619
92, 36634
93, 36605
94, 36541
95, 37277
96, 36546
97, 36568
98, 36680
99, 36599
100, 37194
101, 36678
102, 4507413
103, 51380
104, 38302
105, 60332
106, 57587
107, 38933
108, 42505
109, 41421
110, 40677
111, 40475
112, 41271
113, 40399
114, 40195
115, 40102
116, 39898
117, 40797
118, 39848
119, 73601
120, 49028
121, 39728
122, 40697
123, 56615
124, 25575
125, 46173
126, 34380
127, 25490
128, 25401
129, 25321
130, 33333
131, 24420
132, 24400
133, 24323
134, 24318
135, 25598
136, 24336
137, 24306
138, 24302
139, 24317
140, 24277
141, 24398
142, 24280
143, 24253
144, 24298
145, 24273
146, 24287
147, 24281
148, 24273
149, 24278
150, 24337
151, 24234
152, 24223
153, 24231
154, 24260
155, 24237
156, 24793
157, 24208
158, 24272
159, 24261
160, 24260
161, 24262
162, 24198
163, 24259
164, 24234
165, 24260
166, 24239
167, 24198
168, 24222
169, 24194
170, 24234
171, 24202
172, 24239
173, 24208
174, 24264
175, 24261
176, 24730
177, 24243
178, 24203
179, 24259
180, 24239
181, 24247
182, 24201
183, 24211
184, 24227
185, 24210
186, 24261
187, 24219
188, 24253
189, 24224
190, 24233
191, 24192
192, 24195
193, 24198
194, 34288
195, 43203
196, 33139
197, 24783
198, 24258
199, 24209
200, 24296
201, 24198
202, 24203
203, 24233
204, 24272
205, 24246
206, 24195
207, 24287
208, 24393
209, 24197
210, 24231
211, 24182
212, 24158
213, 24160
214, 24164
215, 24153
216, 24165
217, 29819
218, 34399
219, 44140
220, 33435
221, 24182
222, 24209
223, 24161
224, 24204
225, 24220
226, 24189
227, 24214
228, 24193
229, 24328
230, 24179
231, 24297
232, 24191
233, 24223
234, 24202
235, 24227
236, 24201
237, 24235
238, 24792
239, 24193
240, 24195
241, 24200
242, 24246
243, 24176
244, 24224
245, 24173
246, 24238
247, 24218
248, 24243
249, 24182
250, 24236
251, 24200
252, 24225
253, 44963
254, 33751
255, 35606
256, 35529
257, 33781
258, 25576
259, 24999
260, 24947
261, 24922
262, 24899
263, 24914
264, 30200
265, 25077
266, 24931
267, 24977
268, 24904
269, 24954
270, 35137
271, 34380
272, 24884
273, 25069
274, 24901
275, 24974
276, 24905
277, 24884
278, 24479
279, 24940
280, 24175
281, 24213
282, 24142
283, 24179
284, 24138
285, 24176
286, 24137
287, 24161
288, 24097
289, 24184
290, 24140
291, 24158
292, 24155
293, 24219
294, 24164
295, 24177
296, 24142
297, 24174
298, 24128
299, 24176
300, 24630
301, 24206
302, 24152
303, 24191
304, 24161
305, 24185
306, 24176
307, 24172
308, 24163
309, 24269
310, 24169
311, 24186
312, 24126
313, 24170
314, 24117
315, 24182
316, 24165
317, 24190
318, 24140
319, 24183
320, 24559
321, 24239
322, 24179
323, 24162
324, 24109
325, 24200
326, 24160
327, 24181
328, 24140
329, 24180
330, 24140
331, 24160
332, 24133
333, 24177
334, 24145
335, 24165
336, 24129
337, 24163
338, 24146
339, 24195
340, 24113
341, 24726
342, 24177
343, 24166
344, 24170
345, 24183
346, 24125
347, 24186
348, 24138
349, 24192
350, 24136
351, 24201
352, 24177
353, 24196
354, 24187
355, 24172
356, 24177
357, 24179
358, 24164
359, 24197
360, 24158
361, 24539
362, 24203
363, 24185
364, 24156
365, 24196
366, 24178
367, 24182
368, 24177
369, 24200
370, 24168
371, 24191
372, 24155
373, 24180
374, 24172
375, 24215
376, 24149
377, 24138
378, 24179
379, 24168
380, 24157
381, 24146
382, 24574
383, 24166
384, 24134
385, 24163
386, 24154
387, 24134
388, 24214
389, 24143
390, 24208
391, 24159
392, 24162
393, 24234
394, 24219
395, 24139
396, 24210
397, 24160
398, 24156
399, 24159
400, 24178
401, 24148
402, 24563
403, 44788
404, 33847
405, 24945
406, 24883
407, 24921
408, 24887
409, 24918
410, 24899
411, 24917
412, 24910
413, 24906
414, 24897
415, 24930
416, 24880
417, 24922
418, 24914
419, 33510
420, 24338
421, 24137
422, 37723
423, 33783
424, 24138
425, 24154
426, 24128
427, 24541
428, 24152
429, 24160
430, 24106
431, 24168
432, 24145
433, 24112
434, 24125
435, 24082
436, 24161
437, 24136
438, 24131
439, 24110
440, 24148
441, 24136
442, 24145
443, 24666
444, 24241
445, 24135
446, 24129
447, 24118
448, 24150
449, 24159
450, 24124
451, 24120
452, 24117
453, 24152
454, 24098
455, 24175
456, 24155
457, 24169
458, 24155
459, 24150
460, 24157
461, 24154
462, 24152
463, 24139
464, 24652
465, 24204
466, 24098
467, 24142
468, 24136
469, 24164
470, 24150
471, 24117
472, 24131
473, 24102
474, 24166
475, 24122
476, 24165
477, 24120
478, 24158
479, 24130
480, 24254
481, 24125
482, 24153
483, 24156
484, 24529
485, 24159
486, 24152
487, 24113
488, 24167
489, 24125
490, 24137
491, 24107
492, 24093
493, 24117
494, 24095
495, 24155
496, 24132
497, 24173
498, 24129
499, 24133
500, 24135
501, 24176
502, 24144
503, 24193
504, 24133
505, 24562
506, 24139
507, 24151
508, 24130
509, 24141
510, 24138
511, 24128
512, 24142
513, 24159
514, 24182
515, 24116
516, 24138
517, 24129
518, 24135
519, 24150
520, 24155
521, 24141
522, 24178
523, 24090
524, 24200
525, 24558
526, 24208
527, 24131
528, 24164
529, 24141
530, 24105
531, 24104
532, 24100
533, 24168
534, 24130
535, 24197
536, 24154
537, 24177
538, 24143
539, 24138
540, 24136
541, 24154
542, 24111
543, 24159
544, 24129
545, 24143
546, 28879
547, 44680
548, 47146
549, 24159
550, 24118
551, 24103
552, 24106
553, 24172
554, 24127
555, 24167
556, 34119
557, 24910
558, 32661
559, 24157
560, 24091
561, 24161
562, 24129
563, 24125
564, 24124
565, 24121
566, 24649
567, 24192
568, 24127
