Försök nr, Tid i nanosekunder'
1, 14579502
2, 69373
3, 67158
4, 66959
5, 66538
6, 67260
7, 67870
8, 67473
9, 67301
10, 67156
11, 67013
12, 67236
13, 66871
14, 67336
15, 67135
16, 67099
17, 67325
18, 67416
19, 67288
20, 67657
21, 66811
22, 67553
23, 66518
24, 66683
25, 66963
26, 66719
27, 67424
28, 66718
29, 67120
30, 66718
31, 67000
32, 67404
33, 66407
34, 66806
35, 66649
36, 66730
37, 66554
38, 68887
39, 66614
40, 67134
41, 67182
42, 66912
43, 67909
44, 66960
45, 67258
46, 72825
47, 66884
48, 67664
49, 66710
50, 66933
